"Alkuaika UTC";"Loppuaika UTC";"Vesivoimatuotanto - reaaliaikatieto"
"2024-12-02T00:00:00.000Z";"2024-12-02T00:03:00.000Z";"1067.7"
"2024-12-02T01:00:00.000Z";"2024-12-02T01:03:00.000Z";"1079.8"
"2024-12-02T02:00:00.000Z";"2024-12-02T02:03:00.000Z";"1152.4"
"2024-12-02T03:00:00.000Z";"2024-12-02T03:03:00.000Z";"1122.8"
"2024-12-02T04:00:00.000Z";"2024-12-02T04:03:00.000Z";"1104.7"
"2024-12-02T05:00:00.000Z";"2024-12-02T05:03:00.000Z";"1227.8"
"2024-12-02T06:00:00.000Z";"2024-12-02T06:03:00.000Z";"1191.8"
"2024-12-02T07:00:00.000Z";"2024-12-02T07:03:00.000Z";"1349.8"
"2024-12-02T08:00:00.000Z";"2024-12-02T08:03:00.000Z";"1295.5"
"2024-12-02T09:00:00.000Z";"2024-12-02T09:03:00.000Z";"1312.7"
"2024-12-02T10:00:00.000Z";"2024-12-02T10:03:00.000Z";"1352.8"
"2024-12-02T11:00:00.000Z";"2024-12-02T11:03:00.000Z";"1343.7"
"2024-12-02T12:00:00.000Z";"2024-12-02T12:03:00.000Z";"1117"
"2024-12-02T13:00:00.000Z";"2024-12-02T13:03:00.000Z";"1363.3"
"2024-12-02T14:00:00.000Z";"2024-12-02T14:03:00.000Z";"1420.5"
"2024-12-02T15:00:00.000Z";"2024-12-02T15:03:00.000Z";"1608.8"
"2024-12-02T16:00:00.000Z";"2024-12-02T16:03:00.000Z";"1663.6"
"2024-12-02T17:00:00.000Z";"2024-12-02T17:03:00.000Z";"1788.3"
"2024-12-02T18:00:00.000Z";"2024-12-02T18:03:00.000Z";"1822.2"
"2024-12-02T19:00:00.000Z";"2024-12-02T19:03:00.000Z";"1854.2"
"2024-12-02T20:00:00.000Z";"2024-12-02T20:03:00.000Z";"1715.3"
"2024-12-02T21:00:00.000Z";"2024-12-02T21:03:00.000Z";"1585.3"
"2024-12-02T22:00:00.000Z";"2024-12-02T22:03:00.000Z";"1554.3"
"2024-12-02T23:00:00.000Z";"2024-12-02T23:03:00.000Z";"1312"
