"Alkuaika UTC";"Loppuaika UTC";"Tuulivoimatuotanto - reaaliaikatieto"
"2025-04-29T08:51:00.000Z";"2025-04-29T08:54:00.000Z";"2307"
"2025-04-29T09:00:00.000Z";"2025-04-29T09:03:00.000Z";"2287.5"
"2025-04-29T10:00:00.000Z";"2025-04-29T10:03:00.000Z";"1886.6"
"2025-04-29T11:00:00.000Z";"2025-04-29T11:03:00.000Z";"1857.4"
"2025-04-29T12:00:00.000Z";"2025-04-29T12:03:00.000Z";"2009"
"2025-04-29T13:00:00.000Z";"2025-04-29T13:03:00.000Z";"1838.6"
"2025-04-29T14:00:00.000Z";"2025-04-29T14:03:00.000Z";"1821.1"
"2025-04-29T15:00:00.000Z";"2025-04-29T15:03:00.000Z";"1479"
"2025-04-29T16:00:00.000Z";"2025-04-29T16:03:00.000Z";"1327.5"
"2025-04-29T17:00:00.000Z";"2025-04-29T17:03:00.000Z";"1000.5"
"2025-04-29T18:00:00.000Z";"2025-04-29T18:03:00.000Z";"864.47"
"2025-04-29T19:00:00.000Z";"2025-04-29T19:03:00.000Z";"1182"
"2025-04-29T20:00:00.000Z";"2025-04-29T20:03:00.000Z";"1436"
"2025-04-29T21:00:00.000Z";"2025-04-29T21:03:00.000Z";"1320.5"
"2025-04-29T22:00:00.000Z";"2025-04-29T22:03:00.000Z";"1165"
"2025-04-29T23:00:00.000Z";"2025-04-29T23:03:00.000Z";"1077"
"2025-04-30T00:00:00.000Z";"2025-04-30T00:03:00.000Z";"862.5"
"2025-04-30T01:00:00.000Z";"2025-04-30T01:03:00.000Z";"732.02"
"2025-04-30T02:00:00.000Z";"2025-04-30T02:03:00.000Z";"554.03"
"2025-04-30T03:00:00.000Z";"2025-04-30T03:03:00.000Z";"525.01"
"2025-04-30T04:00:00.000Z";"2025-04-30T04:03:00.000Z";"529"
"2025-04-30T05:00:00.000Z";"2025-04-30T05:03:00.000Z";"348"
"2025-04-30T06:00:00.000Z";"2025-04-30T06:03:00.000Z";"250"
"2025-04-30T07:00:00.000Z";"2025-04-30T07:03:00.000Z";"206.01"
"2025-04-30T08:00:00.000Z";"2025-04-30T08:03:00.000Z";"225"
"2025-04-30T09:00:00.000Z";"2025-04-30T09:03:00.000Z";"190.03"
"2025-04-30T10:00:00.000Z";"2025-04-30T10:03:00.000Z";"151"
"2025-04-30T11:00:00.000Z";"2025-04-30T11:03:00.000Z";"279.49"
"2025-04-30T12:00:00.000Z";"2025-04-30T12:03:00.000Z";"555.01"
"2025-04-30T13:00:00.000Z";"2025-04-30T13:03:00.000Z";"752"
"2025-04-30T14:00:00.000Z";"2025-04-30T14:03:00.000Z";"785.5"
"2025-04-30T15:00:00.000Z";"2025-04-30T15:03:00.000Z";"747.56"
"2025-04-30T16:00:00.000Z";"2025-04-30T16:03:00.000Z";"603.99"
"2025-04-30T17:00:00.000Z";"2025-04-30T17:03:00.000Z";"330"
"2025-04-30T18:00:00.000Z";"2025-04-30T18:03:00.000Z";"364.49"
"2025-04-30T19:00:00.000Z";"2025-04-30T19:03:00.000Z";"504.52"
"2025-04-30T20:00:00.000Z";"2025-04-30T20:03:00.000Z";"678.47"
