"Alkuaika UTC";"Loppuaika UTC";"Sähkönkulutus Suomessa"
"2025-01-02T00:00:00.000Z";"2025-01-02T00:15:00.000Z";"10542.4"
"2025-01-02T01:00:00.000Z";"2025-01-02T01:15:00.000Z";"10518.5"
"2025-01-02T02:00:00.000Z";"2025-01-02T02:15:00.000Z";"10500.4"
"2025-01-02T03:00:00.000Z";"2025-01-02T03:15:00.000Z";"10579.7"
"2025-01-02T04:00:00.000Z";"2025-01-02T04:15:00.000Z";"10983.4"
"2025-01-02T05:00:00.000Z";"2025-01-02T05:15:00.000Z";"11282.4"
"2025-01-02T06:00:00.000Z";"2025-01-02T06:15:00.000Z";"11547.1"
"2025-01-02T07:00:00.000Z";"2025-01-02T07:15:00.000Z";"11479.2"
"2025-01-02T08:00:00.000Z";"2025-01-02T08:15:00.000Z";"11509.8"
"2025-01-02T09:00:00.000Z";"2025-01-02T09:15:00.000Z";"11560.6"
"2025-01-02T10:00:00.000Z";"2025-01-02T10:15:00.000Z";"11602.6"
"2025-01-02T11:00:00.000Z";"2025-01-02T11:15:00.000Z";"11696.8"
"2025-01-02T12:00:00.000Z";"2025-01-02T12:15:00.000Z";"11543.6"
"2025-01-02T13:00:00.000Z";"2025-01-02T13:15:00.000Z";"11660.6"
"2025-01-02T14:00:00.000Z";"2025-01-02T14:15:00.000Z";"11689.5"
"2025-01-02T15:00:00.000Z";"2025-01-02T15:15:00.000Z";"11744.6"
"2025-01-02T16:00:00.000Z";"2025-01-02T16:15:00.000Z";"11692.5"
"2025-01-02T17:00:00.000Z";"2025-01-02T17:15:00.000Z";"11730"
"2025-01-02T18:00:00.000Z";"2025-01-02T18:15:00.000Z";"11542"
"2025-01-02T19:00:00.000Z";"2025-01-02T19:15:00.000Z";"11309.3"
"2025-01-02T20:00:00.000Z";"2025-01-02T20:15:00.000Z";"11349.8"
"2025-01-02T21:00:00.000Z";"2025-01-02T21:15:00.000Z";"11335"
"2025-01-02T22:00:00.000Z";"2025-01-02T22:15:00.000Z";"11094.9"
"2025-01-02T23:00:00.000Z";"2025-01-02T23:15:00.000Z";"10903.7"
