"Alkuaika UTC";"Loppuaika UTC";"Tuulivoimatuotanto - reaaliaikatieto"
"2025-05-01T00:00:00.000Z";"2025-05-01T00:03:00.000Z";"1052"
"2025-05-01T01:00:00.000Z";"2025-05-01T01:03:00.000Z";"1367"
"2025-05-01T02:00:00.000Z";"2025-05-01T02:03:00.000Z";"1456.5"
"2025-05-01T03:00:00.000Z";"2025-05-01T03:03:00.000Z";"1671"
"2025-05-01T04:00:00.000Z";"2025-05-01T04:03:00.000Z";"1784"
"2025-05-01T05:00:00.000Z";"2025-05-01T05:03:00.000Z";"1105"
"2025-05-01T06:00:00.000Z";"2025-05-01T06:03:00.000Z";"902.49"
"2025-05-01T07:00:00.000Z";"2025-05-01T07:03:00.000Z";"1093"
"2025-05-01T08:00:00.000Z";"2025-05-01T08:03:00.000Z";"1051"
"2025-05-01T09:00:00.000Z";"2025-05-01T09:03:00.000Z";"1071"
"2025-05-01T10:00:00.000Z";"2025-05-01T10:03:00.000Z";"1018"
"2025-05-01T11:00:00.000Z";"2025-05-01T11:03:00.000Z";"883.99"
"2025-05-01T12:00:00.000Z";"2025-05-01T12:03:00.000Z";"791.01"
"2025-05-01T13:00:00.000Z";"2025-05-01T13:03:00.000Z";"740.96"
"2025-05-01T14:00:00.000Z";"2025-05-01T14:03:00.000Z";"960"
"2025-05-01T15:00:00.000Z";"2025-05-01T15:03:00.000Z";"1126.9"
"2025-05-01T16:00:00.000Z";"2025-05-01T16:03:00.000Z";"1319.5"
"2025-05-01T17:00:00.000Z";"2025-05-01T17:03:00.000Z";"1568.5"
"2025-05-01T18:00:00.000Z";"2025-05-01T18:03:00.000Z";"1823"
"2025-05-01T19:00:00.000Z";"2025-05-01T19:03:00.000Z";"2717.9"
"2025-05-01T20:00:00.000Z";"2025-05-01T20:03:00.000Z";"3417"
"2025-05-01T21:00:00.000Z";"2025-05-01T21:03:00.000Z";"3613.5"
"2025-05-01T22:00:00.000Z";"2025-05-01T22:03:00.000Z";"4009"
"2025-05-01T23:00:00.000Z";"2025-05-01T23:03:00.000Z";"4344.5"
