"Alkuaika UTC";"Loppuaika UTC";"Tuulivoimatuotanto - reaaliaikatieto"
"2024-12-02T00:00:00.000Z";"2024-12-02T00:03:00.000Z";"5392.7"
"2024-12-02T01:00:00.000Z";"2024-12-02T01:03:00.000Z";"5265"
"2024-12-02T02:00:00.000Z";"2024-12-02T02:03:00.000Z";"4999.5"
"2024-12-02T03:00:00.000Z";"2024-12-02T03:03:00.000Z";"5121.5"
"2024-12-02T04:00:00.000Z";"2024-12-02T04:03:00.000Z";"5935.2"
"2024-12-02T05:00:00.000Z";"2024-12-02T05:03:00.000Z";"6445.9"
"2024-12-02T06:00:00.000Z";"2024-12-02T06:03:00.000Z";"6571"
"2024-12-02T07:00:00.000Z";"2024-12-02T07:03:00.000Z";"6552.1"
"2024-12-02T08:00:00.000Z";"2024-12-02T08:03:00.000Z";"6686"
"2024-12-02T09:00:00.000Z";"2024-12-02T09:03:00.000Z";"6604"
"2024-12-02T10:00:00.000Z";"2024-12-02T10:03:00.000Z";"6430"
"2024-12-02T11:00:00.000Z";"2024-12-02T11:03:00.000Z";"5842"
"2024-12-02T12:00:00.000Z";"2024-12-02T12:03:00.000Z";"5608"
"2024-12-02T13:00:00.000Z";"2024-12-02T13:03:00.000Z";"4544.1"
"2024-12-02T14:00:00.000Z";"2024-12-02T14:03:00.000Z";"3930"
"2024-12-02T15:00:00.000Z";"2024-12-02T15:03:00.000Z";"3213"
"2024-12-02T16:00:00.000Z";"2024-12-02T16:03:00.000Z";"2688"
"2024-12-02T17:00:00.000Z";"2024-12-02T17:03:00.000Z";"2575.4"
"2024-12-02T18:00:00.000Z";"2024-12-02T18:03:00.000Z";"2114"
"2024-12-02T19:00:00.000Z";"2024-12-02T19:03:00.000Z";"2134.5"
"2024-12-02T20:00:00.000Z";"2024-12-02T20:03:00.000Z";"2209.5"
"2024-12-02T21:00:00.000Z";"2024-12-02T21:03:00.000Z";"2098"
"2024-12-02T22:00:00.000Z";"2024-12-02T22:03:00.000Z";"2182"
"2024-12-02T23:00:00.000Z";"2024-12-02T23:03:00.000Z";"2090.6"
