"Alkuaika UTC";"Loppuaika UTC";"Tuulivoimatuotanto - reaaliaikatieto"
"2025-05-04T20:03:00.000Z";"2025-05-04T20:06:00.000Z";"4684"
"2025-05-04T21:00:00.000Z";"2025-05-04T21:03:00.000Z";"4413.6"
"2025-05-04T22:00:00.000Z";"2025-05-04T22:03:00.000Z";"4345.5"
"2025-05-04T23:00:00.000Z";"2025-05-04T23:03:00.000Z";"4595"
"2025-05-05T00:00:00.000Z";"2025-05-05T00:03:00.000Z";"4743.5"
"2025-05-05T01:00:00.000Z";"2025-05-05T01:03:00.000Z";"4738.5"
"2025-05-05T02:00:00.000Z";"2025-05-05T02:03:00.000Z";"4257.5"
"2025-05-05T03:00:00.000Z";"2025-05-05T03:03:00.000Z";"4088"
"2025-05-05T04:00:00.000Z";"2025-05-05T04:03:00.000Z";"3561.1"
"2025-05-05T05:00:00.000Z";"2025-05-05T05:03:00.000Z";"2905.4"
"2025-05-05T06:00:00.000Z";"2025-05-05T06:03:00.000Z";"2870"
"2025-05-05T07:00:00.000Z";"2025-05-05T07:03:00.000Z";"2510.5"
"2025-05-05T08:00:00.000Z";"2025-05-05T08:03:00.000Z";"2039.8"
"2025-05-05T09:00:00.000Z";"2025-05-05T09:03:00.000Z";"1922.5"
"2025-05-05T10:00:00.000Z";"2025-05-05T10:03:00.000Z";"1553.6"
"2025-05-05T11:00:00.000Z";"2025-05-05T11:03:00.000Z";"1535.5"
"2025-05-05T12:00:00.000Z";"2025-05-05T12:03:00.000Z";"1668"
"2025-05-05T13:00:00.000Z";"2025-05-05T13:03:00.000Z";"1472"
"2025-05-05T14:00:00.000Z";"2025-05-05T14:03:00.000Z";"1217"
"2025-05-05T15:00:00.000Z";"2025-05-05T15:03:00.000Z";"839.49"
"2025-05-05T16:00:00.000Z";"2025-05-05T16:03:00.000Z";"648.49"
"2025-05-05T17:00:00.000Z";"2025-05-05T17:03:00.000Z";"774.51"
"2025-05-05T18:00:00.000Z";"2025-05-05T18:03:00.000Z";"906.97"
"2025-05-05T19:00:00.000Z";"2025-05-05T19:03:00.000Z";"1145.5"
