"Alkuaika UTC";"Loppuaika UTC";"Sähkönkulutus Suomessa"
"2024-12-02T00:00:00.000Z";"2024-12-02T00:15:00.000Z";"9038.93"
"2024-12-02T01:00:00.000Z";"2024-12-02T01:15:00.000Z";"8873.43"
"2024-12-02T02:00:00.000Z";"2024-12-02T02:15:00.000Z";"8901.39"
"2024-12-02T03:00:00.000Z";"2024-12-02T03:15:00.000Z";"9111.76"
"2024-12-02T04:00:00.000Z";"2024-12-02T04:15:00.000Z";"9874.26"
"2024-12-02T05:00:00.000Z";"2024-12-02T05:15:00.000Z";"10370.8"
"2024-12-02T06:00:00.000Z";"2024-12-02T06:15:00.000Z";"10794.8"
"2024-12-02T07:00:00.000Z";"2024-12-02T07:15:00.000Z";"10810.5"
"2024-12-02T08:00:00.000Z";"2024-12-02T08:15:00.000Z";"10804.4"
"2024-12-02T09:00:00.000Z";"2024-12-02T09:15:00.000Z";"10828.6"
"2024-12-02T10:00:00.000Z";"2024-12-02T10:15:00.000Z";"10742.5"
"2024-12-02T11:00:00.000Z";"2024-12-02T11:15:00.000Z";"10708.2"
"2024-12-02T12:00:00.000Z";"2024-12-02T12:15:00.000Z";"10800"
"2024-12-02T13:00:00.000Z";"2024-12-02T13:15:00.000Z";"10850.2"
"2024-12-02T14:00:00.000Z";"2024-12-02T14:15:00.000Z";"10989.3"
"2024-12-02T15:00:00.000Z";"2024-12-02T15:15:00.000Z";"10758"
"2024-12-02T16:00:00.000Z";"2024-12-02T16:15:00.000Z";"10655.9"
"2024-12-02T17:00:00.000Z";"2024-12-02T17:15:00.000Z";"10637.1"
"2024-12-02T18:00:00.000Z";"2024-12-02T18:15:00.000Z";"10528.8"
"2024-12-02T19:00:00.000Z";"2024-12-02T19:15:00.000Z";"10168.1"
"2024-12-02T20:00:00.000Z";"2024-12-02T20:15:00.000Z";"10154.3"
"2024-12-02T21:00:00.000Z";"2024-12-02T21:15:00.000Z";"9947.77"
"2024-12-02T22:00:00.000Z";"2024-12-02T22:15:00.000Z";"9614.33"
"2024-12-02T23:00:00.000Z";"2024-12-02T23:15:00.000Z";"9592.92"
